0,1,2,3,4,5,6,7,8
,Compounds,Cas,,,Content (μg/kg DW),,,Odor description
,,,FS,HAD,HAD-MVD,VFD,ND,
,Ketones,,,,,,,
,,000106–68-,,,,,"15,262 ±",
15,3-Octanone,,–,1040 ± 23c,"36,812 ± 97a",–,,"Lavender flavor, Sugary flavor"
,,3,,,,,64b,
,,002918–13-,,,,,,
16,1-heptene-3-one,,–,3760 ± 68b,–,"26,149 ± 145a",–,Metallic
,,0,,,,,,
,,000078–94-,,,,,,
17,Methyl vinyl ketone,,–,–,–,132 ± 22b,204 ± 23a,Sugary flavor
,,4,,,,,,
,,004312–99-,,,,,,
18,1-Octen-3-one,,–,–,"59,092 ± 147a",–,5197 ± 203b,"Mushroom flavor, Earthy flavor"
,,6,,,,,,
,Alkane,,,,,,,
,,000540–97-,,,,,"36,114 ±",
19,Dodecamethylcyclohexasiloxane,,52 ± 9d,3567 ± 93c,"42,687 ± 309a","46,037 ± 330a",,NF
,,6,,,,,286b,
,,000141–62-,"12,739 ±",,,,"67,533 ±",
20,Decamethyltetrasiloxane,,,–,–,"54,601 ± 479b",,NF
,,8,213c,,,,497a,
,,000629–50-,,,,,,
21,Tridecane,5,–,–,–,4050 ± 103a,1486 ± 59b,NF
,,000112–40-,,,,,,
22,Dodecane,,–,–,–,1649 ± 67b,2020 ± 89a,Alkane flavor
,,3,,,,,,
,,000541–02-,,,,,"306,481 ±",
23,Decamethylcyclopentasiloxane,,752 ± 34d,221 ± 24d,"17,940 ± 157c","46,046 ± 429b",,NF
,,6,,,,,5789a,
,Aromatic hydrocarbon,,,,,,,
,,000488–23-,1568 ±,,,,"100,000 ±",
24,Tetramethyl benzene,,,1155 ± 75d,"17,206 ± 143c","33,488 ± 302b",,Sour sweetness
,,3,97d,,,,1032a,
,,004218–48-,,,,,,
25,1-ethyl-4-propan-2-ylbenzene,,–,111 ± 10b,–,2229 ± 133a,–,NF
,,8,,,,,,
,,000151–10-,2778 ±,,,,"10,802 ±",
26,Ethyl-m-xylene,,,–,"22,111 ± 206a",5714 ± 98c,,NF
,,0,147d,,,,239b,
,Others,,,,,,,
,,000091–57-,,,,,,"Sugary flavor, Flower"
27,2-Methylnaphthalene,,–,–,–,–,100 ± 44,
,,6,,,,,,"fragrance, Woody fragrance"
